0.05,0.95,997,404,351,1675
0.15,0.95,1338,1249,674,3249
0.25,0.95,815,1118,609,2543
0.35,0.95,585,918,535,2033
0.45,0.95,653,1104,922,2668
0.55,0.95,549,957,1113,2597
0.65,0.95,165,416,662,1224
0.75,0.95,397,485,659,1515
0.85,0.95,885,656,785,2275
0.95,0.95,886,336,384,1531
0.05,0.85,979,451,382,1746
0.15,0.85,1359,1297,727,3372
0.25,0.85,860,1145,629,2634
0.35,0.85,588,940,572,2095
0.45,0.85,573,944,812,2317
0.55,0.85,548,943,1086,2558
0.65,0.85,190,399,596,1168
0.75,0.85,372,432,565,1346
0.85,0.85,810,605,715,2084
0.95,0.85,852,361,410,1555
0.05,0.75,1075,594,495,2100
0.15,0.75,1284,1262,740,3279
0.25,0.75,757,985,571,2311
0.35,0.75,631,999,630,2255
0.45,0.75,617,1008,872,2487
0.55,0.75,578,954,1075,2585
0.65,0.75,228,423,594,1227
0.75,0.75,465,537,682,1660
0.85,0.75,777,594,687,2016
0.95,0.75,1070,519,574,2083
0.05,0.65,1088,699,578,2311
0.15,0.65,1316,1325,808,3440
0.25,0.65,957,1250,760,2968
0.35,0.65,639,1002,667,2303
0.45,0.65,652,1037,921,2598
0.55,0.65,644,1036,1140,2799
0.65,0.65,323,525,683,1511
0.75,0.65,517,591,723,1805
0.85,0.65,836,673,759,2226
0.95,0.65,986,543,580,2044
0.05,0.55,1145,844,696,2639
0.15,0.55,1338,1381,891,3604
0.25,0.55,990,1250,797,3037
0.35,0.55,684,1034,725,2439
0.45,0.55,816,1291,1161,3258
0.55,0.55,745,1171,1260,3155
0.65,0.55,456,683,828,1946
0.75,0.55,654,752,879,2258
0.85,0.55,915,777,849,2500
0.95,0.55,981,653,664,2245
0.05,0.45,1234,1023,839,3056
0.15,0.45,1112,1155,791,3051
0.25,0.45,1125,1424,970,3519
0.35,0.45,754,1080,793,2623
0.45,0.45,753,1123,1021,2885
0.55,0.45,717,1065,1104,2868
0.65,0.45,532,752,860,2122
0.75,0.45,716,838,935,2462
0.85,0.45,939,847,899,2648
0.95,0.45,1148,879,865,2841
0.05,0.35,1326,1223,1015,3531
0.15,0.35,1182,1274,923,3372
0.25,0.35,1047,1278,926,3248
0.35,0.35,898,1261,974,3130
0.45,0.35,888,1282,1158,3320
0.55,0.35,929,1359,1367,3639
0.65,0.35,765,1062,1140,2945
0.75,0.35,818,952,1007,2752
0.85,0.35,1042,1013,1028,3050
0.95,0.35,1225,1079,1020,3282
0.05,0.25,1262,1274,1070,3582
0.15,0.25,1438,1629,1252,4314
0.25,0.25,1211,1482,1134,3824
0.35,0.25,1125,1510,1205,3837
0.45,0.25,921,1259,1132,3303
0.55,0.25,873,1195,1164,3218
0.65,0.25,878,1164,1187,3208
0.75,0.25,1042,1251,1255,3526
0.85,0.25,1101,1152,1128,3353
0.95,0.25,1296,1259,1162,3685
0.05,0.15,1386,1541,1322,4234
0.15,0.15,1197,1357,1111,3658
0.25,0.15,1246,1529,1259,4031
0.35,0.15,1061,1361,1157,3573
0.45,0.15,1069,1388,1232,3697
0.55,0.15,1028,1351,1249,3624
0.65,0.15,1002,1254,1210,3449
0.75,0.15,967,1130,1083,3162
0.85,0.15,1117,1241,1172,3500
0.95,0.15,1439,1581,1419,4423
0.05,0.05,1489,1764,1540,4787
0.15,0.05,1458,1743,1508,4704
0.25,0.05,1460,1796,1555,4809
0.35,0.05,1341,1670,1463,4469
0.45,0.05,1346,1686,1499,4527
0.55,0.05,1376,1708,1541,4620
0.65,0.05,1338,1649,1507,4485
0.75,0.05,1321,1589,1455,4353
0.85,0.05,1367,1605,1456,4416
0.95,0.05,1441,1697,1514,4643